covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
L0_S0__mean,-1.2406037885989287,0.28920954378598684,0.23302780484181282,-1.6973298934853103,-0.7838776837125472,0.1831719603186713,0.45663189972626356,0.0,-5.323844463286656,1.015967859794235e-07,23.230641901125963
L0_S0__std,0.07149877440279154,1.0741168342659135,0.21893930446592158,-0.35761437715066413,0.5006119259562473,0.6993427055421101,1.649730474787883,0.0,0.3265689300384184,0.7439939463822741,0.42663721220970524
L0_S0__notna,0.006309716071181914,1.006329664263371,0.0029342923207362637,0.0005586088024263835,0.012060823339937445,1.0005587648533794,1.0121338483550526,0.0,2.150336565512566,0.031528602052502255,4.98719498602793
L0_S0__abs_sum,0.01950536227636195,1.0196968347422315,0.02203982176746455,-0.02369189461355049,0.06270261916627438,0.9765865549874373,1.064710167750263,0.0,0.885005445241667,0.37615369451632474,1.4106058345520647
L0_S1__mean,0.03989556126975485,1.0407020789128034,0.23197689510258943,-0.41477079837674646,0.49456192091625617,0.6604916491155002,1.6397797284853122,0.0,0.1719807537389077,0.863452659839409,0.21181101300709715
L0_S1__std,-0.027491474432400458,0.9728829768976829,0.18994309312504343,-0.39977309606962314,0.3447901472048222,0.6704721615458461,1.4116936407248233,0.0,-0.1447353203535664,0.884919851160022,0.17638130135301375
L0_S1__notna,0.03673345117544837,1.0374164618430821,0.01759944574180737,0.002239171373639111,0.07122773097725763,1.0022416801900664,1.073825741410915,0.0,2.087193637478497,0.03687063438991342,4.761383950362023
L0_S1__abs_sum,0.03473015758720283,1.0353402923795565,0.13445297342201887,-0.22879282793427524,0.2982531431086809,0.7954933204293445,1.3475028557701059,0.0,0.2583070995253661,0.7961699075192255,0.32885175133203376
L0_S2__mean,-0.14104622698351546,0.8684491649845105,0.4662096102695175,-1.0548002723582248,0.7727078183911938,0.34826197790394464,2.1656224337252037,0.0,-0.30253822288643106,0.7622418000850597,0.3916793695477157
L0_S2__std,0.04461126915359341,1.0456213156366387,0.22431640793495586,-0.39504081154031484,0.4842633498475017,0.6736525458898135,1.6229790006501743,0.0,0.19887653143290865,0.8423593280078456,0.24749231509772515
L0_S2__notna,0.005225927385242729,1.005239606361826,0.003956576392731559,-0.002528819846592531,0.01298067461707799,0.997474374924748,1.0130652892959924,0.0,1.3208205444593553,0.1865612077995828,2.422279061180419
L0_S2__abs_sum,-0.0240664773408178,0.9762208110372173,0.040528689896537524,-0.10350124987862372,0.05536829519698811,0.9016748957569733,1.0569298051733984,0.0,-0.5938133554836142,0.5526369553442885,0.8555960551595452
L0_S3__mean,-0.5732444086118411,0.5636936162930425,0.419605668927763,-1.3956564074190942,0.24916759019541201,0.24767041030377718,1.2829570260726533,0.0,-1.3661502955302725,0.17189179464218526,2.5404274163399543
L0_S3__std,0.062072465083412985,1.0640394476416934,0.22492806920507635,-0.37877844967066954,0.5029233798374955,0.6846972907737531,1.6535481612001153,0.0,0.27596584678286157,0.7825742982884466,0.35370036561043605
L0_S3__notna,0.004610162272065559,1.004620805419413,0.003982185579489981,-0.0031947780434895684,0.012415102587620687,0.9968103198295813,1.0124924898992798,0.0,1.157696491045002,0.24698791643022705,2.017487633371426
L0_S3__abs_sum,-0.004201251908490108,0.9958075610042341,0.03999737248672655,-0.0825946614587074,0.0741921576417272,0.9207242766283722,1.0770137420341417,0.0,-0.10503819744370277,0.9163454991738651,0.12603643983468663
L0_S4__mean,-1.2314876015365004,0.2918580860485296,0.5644298529458605,-2.337749785109626,-0.12522541796337494,0.09654464017533242,0.8822979943497169,0.0,-2.1818257753539188,0.02912239350751342,5.10172725733171
L0_S4__std,0.7752695877674552,2.1711773711528286,0.675260337062147,-0.5482163530627305,2.098755528597641,0.5779798034416466,8.156013668533038,0.0,1.1481047311921475,0.2509253312895295,1.9946699745545111
L0_S4__notna,-0.006513398788010929,0.9935077674143035,0.017107667887112335,-0.04004381170622355,0.02701701413020169,0.96074734624976,1.027385282681753,0.0,-0.38072978917936834,0.7034037621387315,0.5075750436824931
L0_S4__abs_sum,1.1192070021205967,3.0624247438145304,0.4478068458692387,0.24152171218640972,1.9968922920547836,1.2731850982496145,7.366128714843629,0.0,2.4993074859052276,0.012443628867411403,6.328448917685135
L0_S5__mean,-0.8890925355048832,0.4110285774046663,0.2064523354396917,-1.2937316774908612,-0.48445339351890526,0.27424547555295203,0.6160338328377765,0.0,-4.306526896929207,1.658377728831759e-05,15.879867827406347
L0_S5__std,0.06519046019174571,1.067362295053471,0.20039149461365463,-0.32756965205916955,0.457950572442661,0.7206730931624333,1.5808308645221378,0.0,0.3253155046197437,0.7449422975290794,0.42479941467186183
L0_S5__notna,0.05018780062017002,1.0514685442797294,0.017068468940123906,0.01673421622628661,0.08364138501405342,1.0168750175259642,1.0872389237170967,0.0,2.940380932597326,0.0032780896270570127,8.252928984604523
L0_S5__abs_sum,-0.14845187094996942,0.862041495410357,0.1253010527550636,-0.39403742157484734,0.09713367967490852,0.6743288213218231,1.102007679803253,0.0,-1.184761561741709,0.23611173433137797,2.082458352172954
L0_S6__mean,-0.37477164976690736,0.6874462393782975,0.25506260009335974,-0.8746851597530351,0.12514186021922036,0.4169932852824976,1.1333092131572489,0.0,-1.4693320370361271,0.1417427513160537,2.8186531368470407
L0_S6__std,0.05414073215680931,1.055633153232332,0.11383959515524424,-0.1689807743620898,0.27726223867570843,0.8445251397644997,1.3195123528400607,0.0,0.47558788383757894,0.6343680089278803,0.6566080768795716
L0_S6__notna,0.0037501253291020845,1.0037571658472848,0.011740496325035658,-0.019260824628592663,0.026761075286796835,0.980923479871729,1.0271223685271798,0.0,0.31941795519370386,0.7494095971194261,0.41617364160257936
L0_S6__abs_sum,0.010926787452255922,1.010986702822921,0.05146610954595318,-0.0899449336822054,0.11179850858671724,0.9139815134820005,1.118287512611588,0.0,0.21231034458704492,0.8318649255770822,0.2655788057281888
L0_S7__mean,0.21909134510062472,1.24494499111931,0.3464276652696092,-0.4598944020761067,0.8980770922773562,0.6313503112691004,2.454878065708992,0.0,0.632430279291106,0.5271057534177024,0.923835655557752
L0_S7__std,-0.10405888507085959,0.9011722302681525,0.11352600901617498,-0.32656577405113196,0.11844800390941282,0.7213969242899306,1.1257483380676114,0.0,-0.9166083259038329,0.3593479198994979,1.4765467599046964
L0_S7__notna,0.026144933426393017,1.0264897103637767,0.011740390492492913,0.0031341908966704413,0.04915567595611559,1.0031391076082545,1.0503838575239688,0.0,2.226921961676719,0.025952489792174713,5.267983237375953
L0_S7__abs_sum,-0.021984996605060588,0.9782549120859045,0.05533299494056009,-0.1304356738452954,0.08646568063517422,0.8777129510319277,1.0903139481935131,0.0,-0.3973216455873634,0.691130287433478,0.5329703910522998
L0_S8__mean,-1.2599554463411562,0.28366666460603157,0.22203411504893716,-1.6951343151762959,-0.8247765775060165,0.18357457052094614,0.43833291495855314,0.0,-5.674602959385125,1.390106897171226e-08,26.100228930762334
L0_S8__std,-0.005051333001829156,0.9949614035262128,0.22591826616381333,-0.44784299813263717,0.4377403321289789,0.6390050011351562,1.5492025770506712,0.0,-0.022359117248918838,0.9821614919008842,0.02596783571466643
L0_S8__notna,0.02677920751830528,1.027140992716602,0.011703693332073193,0.0038403901013402443,0.04971802493527032,1.0038477738485363,1.0509747059298964,0.0,2.28809887259423,0.022131763893759877,5.497737751768693
L0_S8__abs_sum,-0.008744357183990886,0.9912937635127061,0.12722199925766373,-0.2580948937701933,0.24060617940221152,0.7725219211109534,1.2720199889810633,0.0,-0.06873305902292001,0.9452021031243494,0.08130525549975233
L0_S9__mean,0.7766012323878777,2.1740705337237625,0.9683445819922364,-1.121319272941399,2.6745217377171544,0.3258496263357506,14.505410789502411,0.0,0.8019885140371489,0.4225596023971082,1.2427732457573895
L0_S9__std,0.008468043891431475,1.0085039991938054,0.6922444004338927,-1.3483060494585215,1.3652421372413845,0.2596797729767638,3.916671309170112,0.0,0.01223273729065021,0.9902399311959307,0.01414996807082245
L0_S9__notna,0.005800908822820614,1.0058177666755979,0.0032606672451971574,-0.0005898815433352479,0.012191699188976477,0.9994102924025782,1.0122663209003366,0.0,1.7790557535011091,0.07523062179363361,3.7325361752450426
L0_S9__abs_sum,-0.03182146650714194,0.968679508378261,0.08713679931616627,-0.20260645489492224,0.13896352188063837,0.8165995469518661,1.1490821828820572,0.0,-0.3651897563012529,0.7149697643328159,0.48404586246408626
L0_S10__mean,2.214764779664764,9.159254415310466,1.04876852120034,0.15921624999276585,4.270313309336762,1.1725914921668232,71.54404752618575,0.0,2.11177655974067,0.03470561872381091,4.8486869405513895
L0_S10__std,1.495362619435957,4.460953888174251,0.8100731001881861,-0.09235148177759456,3.0830767206495087,0.9117846175396546,21.82545001265224,0.0,1.8459600980313666,0.06489799937515174,3.9456821851409885
L0_S10__notna,0.0014609016048909619,1.0014619692414812,0.003237185846473347,-0.004883866065459608,0.007805669275241531,0.9951280406169792,1.0078362129311635,0.0,0.45128753002627153,0.6517823311473374,0.6175378516044105
L0_S10__abs_sum,0.10023455240091834,1.1054301689706787,0.11564711778461559,-0.12642963337278978,0.32689873817462645,0.8812361569780051,1.3866610542411535,0.0,0.8667276307533921,0.3860912624005812,1.3729861897502718
L0_S11__mean,0.4139515142832496,1.512783776700489,0.38379272528650915,-0.3382684048067832,1.1661714333732824,0.7130038885422378,3.209680608793237,0.0,1.0785809292612993,0.2807745865833636,1.8325157342782123
L0_S11__std,0.0019897052808258505,1.001991686057881,0.3524068402588599,-0.6887150095320995,0.6926944200937513,0.50222100381249,1.9990946840287176,0.0,0.005646046141908925,0.9954951308880502,0.006513835356293385
L0_S11__notna,0.0018276318305987071,1.0018293029675722,0.003269210349525101,-0.004579902712356093,0.008235166373553506,0.9954305690494217,1.008269168630144,0.0,0.5590438164568384,0.5761318169865902,0.7955291617685925
L0_S11__abs_sum,0.05384589620157745,1.0553219605008817,0.032809753258374603,-0.01046003852648246,0.11815183092963737,0.9895944774312615,1.1254149711974153,0.0,1.641155170462412,0.10076520879814635,3.3109304893676694
L0_S12__mean,0.5888727460700796,1.8019560081018398,0.40530411523517373,-0.2055087225767328,1.3832542147168918,0.8142329923264248,3.9878578806501883,0.0,1.4529157833208575,0.14624713815196128,2.7735197014006885
L0_S12__std,0.2966191669893461,1.3453028661377782,0.2923222597922964,-0.27632193408291605,0.8695602680616082,0.7585686823343282,2.385861483325593,0.0,1.0146992131221986,0.3102492293438879,1.6885004681679336
L0_S12__notna,0.0066953911032300506,1.0067178553418783,0.0035410833233976984,-0.00024500467688483903,0.01363578688334494,0.99975502533431,1.0137291782306883,0.0,1.8907747973594047,0.058654412836375056,4.091616536974259
L0_S12__abs_sum,0.02617177891007602,1.0265172673464356,0.030632670028495186,-0.0338671510960741,0.08621070891622615,0.9666999211322702,1.0900359844099068,0.0,0.8543747210324942,0.3928973978327125,1.3477754820570977
L0_S13__mean,-0.7953007617349246,0.4514454369893522,0.27994378740647397,-1.343980502747351,-0.24662102072249803,0.26080546282155315,0.7814367857699058,0.0,-2.8409302063923296,0.0044982155723329725,7.796431482220587
L0_S13__std,0.31188019216716933,1.3659910268008404,0.21272935136056462,-0.10506167495410407,0.7288220592884427,0.9002689968249483,2.0726377248146344,0.0,1.466089141777852,0.14262400344853726,2.8097112888282774
