window,n,positive_rate,t_first_min,t_first_max,L3_S33__mean,L3_S32__mean,L1_S24__mean,L3_S29__mean,L0_S0__mean
0,118322,0.0043778840790385555,0.0,198.86,0.007188513547776407,-0.00024401210256756986,2.9471375014828378e-05,-0.004246796656262267,0.001038112100877267
1,118311,0.00769159249773901,198.87,351.22,0.01035370506546306,-9.568002975209403e-06,9.816949661719699e-05,0.025526140557274455,-0.02487706623503591
2,118356,0.007316908310520801,351.23,560.88,0.0033250050694514856,-0.0001674439825610869,0.0017923736720805157,0.021641703925540916,-0.02386054079781901
3,118293,0.0078111130836144155,560.89,692.19,-0.014483080148444964,6.844022892309774e-05,-0.0001827697431987941,0.011461331072876448,-0.0009270998002135939
4,118307,0.009821904029347376,692.2,877.71,-0.013368575823915745,1.3236748459516337e-05,-0.0004805307877253947,0.006199508541177885,0.006188324303154786
5,118317,0.006803756011393122,877.72,991.42,0.009323898509935175,0.00010540328101625295,9.721797716147661e-05,-0.019739239478337774,0.015644419229696494
6,118349,0.0024672789799660326,991.43,1156.87,0.010440175244404262,7.816711590296496e-05,0.0005222757831957971,-0.01751380074314902,0.011717325452686547
7,118294,0.0036857321588584374,1156.88,1356.56,0.0009630226385108292,-0.00015977141697803775,-0.001962326481294062,-0.010747035885326965,0.022307543775113983
8,118303,0.00370235750572682,1356.57,1476.23,-0.006344632849547349,4.8223629155642714e-05,-0.00021873328460998682,-0.007550749257702359,0.011336810280945256
9,118313,0.004445834354635585,1476.24,1716.54,-0.007719024114002688,0.0002733089347747078,0.00024413228597858777,-0.00497793339987679,-0.01836459293005277
