eval_block,strategy,auc,mcc_at_0_5,mcc_at_optimal,n_train,n_eval
1,windowed,0.5811284506269577,0.02081786359194253,0.1146894218690497,236749,236749
1,cumulative,0.5811284506269577,0.02081786359194253,0.1146894218690497,236749,236749
1,global_baseline,0.7966952506169082,0.08041459350324659,0.21046346384834508,-1,236749
2,windowed,0.5902302338986319,0.03329707793926452,0.17767783359560926,236749,236750
2,cumulative,0.5938478013545893,0.025001558523702224,0.19549434182819164,473498,236750
2,global_baseline,0.7867324059287817,0.06684589744825752,0.2251669569950288,-1,236750
3,windowed,0.6051742232209519,0.1378602452855166,0.17308850050949998,236750,236749
3,cumulative,0.5893907063512904,0.08196370256386853,0.16760620362485815,710248,236749
3,global_baseline,0.9016978519757631,0.24074682264859465,0.24074682264859465,-1,236749
4,windowed,0.5690476024342067,0.08782136065910755,0.0953322766159832,236749,236750
4,cumulative,0.576611860540395,0.0851583232716142,0.09419148641973213,946997,236750
4,global_baseline,0.9000970176979879,0.18802986077667497,0.21924084534404026,-1,236750
